id,title,link
1,France to ban unsolicited telemarketing calls,https://www.lemonde.fr/en/france/article/2026/08/06/france-to-ban-unsolicited-telemarketing-calls-from-august-11_6756208_7.html
2,H3-metal – Native MiniMax-H3 inference for Apple Silicon,https://github.com/antirez/h3.c
3,"As AI eats the web, the internet’s collective memory is disappearing",https://thewalrus.ca/google-search-is-dying/
4,"To Save C, We Must Save ABI",https://thephd.dev/to-save-c-we-must-save-abi-fixing-c-function-abi
5,London Underground begins scanning passengers' faces,https://www.btp.police.uk/news/btp/news/england/btp-expands-live-facial-recognition-lfr-trial-into-london-underground-stations/
6,Chicken Scheme 6.0,https://code.call-cc.org/releases/6.0.0/NEWS
7,LFM2.5 2.6B model competitive with 4x larger models,https://huggingface.co/LiquidAI/LFM2.5-2.6B
8,"Show HN: Needle2: 14MB agentic LLM for phones, wearables, smart home and robots",https://cactuscompute.com/needle
9,Show HN: Mcptoon – Token-efficient MCP CLI client,https://github.com/activeing123/mcptoon
10,Show HN: Scroll through all 43252003274489856000 Rubik's Cube states,https://everycube.alen.is/
11,About Rx Kids,https://rxkids.org/about/
12,Mark Zuckerberg attacks 'closed' AI rivals as Meta returns to open models,https://www.ft.com/content/4e3957f8-ea7c-4c46-a3de-cdce8e526878
13,The “mechanical miracle” that ruined Mark Twain’s life,https://resobscura.substack.com/p/the-mechanical-miracle-that-ruined
14,Recycle – Floppydisks,https://www.floppydisk.com/recycle
15,Programming the Gigatron,https://www.iwriteiam.nl/PGigatron.html
